City/Town,Population,Total Case Counts,Two Week Case Counts,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Testing Rate,Report Date
Abington,18224,1220,144,20038,2004,157,10996.34,1/28/21
Acton,23728,662,61,28925,2963,67,12487.47,1/28/21
Acushnet,10449,973,154,14964,1864,172,17838.55,1/28/21
Adams,8227,199,28,8970,950,30,11546.73,1/28/21
Agawam,28496,1907,224,42590,4134,269,14507.22,1/28/21
Alford,462,<5,0,172,14,0,3028.77,1/28/21
Amesbury,16598,843,75,21284,2112,91,12724.40,1/28/21
Amherst,40259,1075,93,193161,7605,111,18890.07,1/28/21
Andover,36064,1951,209,64765,6042,241,16753.53,1/28/21
Aquinnah,261,<5,0,454,25,0,9585.77,1/28/21
Arlington,45827,1352,168,75662,7442,190,16239.28,1/28/21
Ashburnham,6287,285,41,7768,812,48,12916.53,1/28/21
Ashby,3488,122,16,2828,236,18,6766.01,1/28/21
Ashfield,1695,25,<5,1598,152,5,8965.59,1/28/21
Ashland,19700,1139,123,28015,3238,141,16436.17,1/28/21
Athol,11981,500,51,15525,1382,57,11534.61,1/28/21
Attleboro,46517,3038,292,52175,4730,327,10168.23,1/28/21
Auburn,16484,1216,144,24469,2364,154,14341.07,1/28/21
Avon,4376,357,58,5711,568,65,12979.32,1/28/21
Ayer,8098,662,56,14271,951,64,11743.32,1/28/21
Barnstable,44773,2516,344,49633,5169,384,11545.03,1/28/21
Barre,5560,208,26,5596,535,29,9622.08,1/28/21
Becket,1795,46,<5,1875,202,5,11250.99,1/28/21
Bedford,14995,670,83,28087,2934,98,19566.91,1/28/21
Belchertown,16054,600,103,22813,2250,123,14014.89,1/28/21
Bellingham,18017,784,89,16410,1435,103,7964.64,1/28/21
Belmont,27409,904,124,46147,4889,147,17837.47,1/28/21
Berkley,6815,523,80,7925,808,93,11856.08,1/28/21
Berlin,3227,148,27,4215,414,29,12828.42,1/28/21
Bernardston,2073,36,<5,2760,279,4,13461.71,1/28/21
Beverly,41071,2636,296,99124,7092,352,17267.69,1/28/21
Billerica,43673,2829,252,55280,5152,292,11796.87,1/28/21
Blackstone,9026,435,65,8814,800,70,8863.32,1/28/21
Blandford,1209,43,11,1072,131,12,10835.62,1/28/21
Bolton,5055,126,15,7356,716,19,14163.51,1/28/21
Boston,692958,51933,5548,2222881,198195,6408,28601.29,1/28/21
Bourne,21026,842,126,27038,2867,139,13635.80,1/28/21
Boxborough,5073,138,16,6034,620,20,12221.29,1/28/21
Boxford,7640,400,59,11574,1060,65,13873.47,1/28/21
Boylston,4489,225,28,6416,630,30,14033.09,1/28/21
Braintree,39657,3038,377,64612,6471,431,16317.28,1/28/21
Brewster,9926,316,72,12112,1759,78,17720.30,1/28/21
Bridgewater,28615,2006,306,46154,3756,346,13125.79,1/28/21
Brimfield,3727,145,22,3782,403,22,10812.30,1/28/21
Brockton,99226,10817,1106,142431,12796,1257,12895.77,1/28/21
Brookfield,3688,160,15,3689,324,15,8784.38,1/28/21
Brookline,64727,1658,220,138053,12378,254,19123.28,1/28/21
Buckland,1838,29,0,318,27,0,1468.92,1/28/21
Burlington,27819,1452,179,35263,3801,193,13663.41,1/28/21
Cambridge,111989,3862,507,520836,45875,602,40963.84,1/28/21
Canton,23173,1344,225,38959,4107,245,17723.30,1/28/21
Carlisle,4723,124,14,6242,666,17,14101.20,1/28/21
Carver,12248,499,95,10807,1200,107,9797.26,1/28/21
Charlemont,1174,14,6,1353,138,6,11752.72,1/28/21
Charlton,14164,719,87,19792,2033,101,14353.62,1/28/21
Chatham,5830,194,52,6327,517,59,8868.63,1/28/21
Chelmsford,35973,2126,246,47540,4217,270,11722.60,1/28/21
Chelsea,36918,7480,600,90527,8385,761,22712.29,1/28/21
Cheshire,2936,85,16,3524,412,16,14032.13,1/28/21
Chester,1358,41,9,1003,111,16,8175.42,1/28/21
Chesterfield,1224,27,6,1103,110,6,8989.55,1/28/21
Chicopee,56710,3962,567,74356,7875,736,13886.37,1/28/21
Chilmark,759,12,0,3004,198,0,26100.17,1/28/21
Clarksburg,1673,32,<5,1291,118,3,7051.10,1/28/21
Clinton,14080,1234,153,17955,1721,182,12223.35,1/28/21
Cohasset,7355,282,52,10718,1408,53,19143.59,1/28/21
Colrain,1582,26,8,1676,200,8,12638.84,1/28/21
Concord,18731,866,76,35468,3818,89,20383.37,1/28/21
Conway,1932,22,<5,2078,206,4,10664.59,1/28/21
Cummington,784,19,<5,1218,121,4,15432.26,1/28/21
Dalton,6466,190,33,9251,1323,36,20460.83,1/28/21
Danvers,28667,2398,215,51277,5340,247,18627.77,1/28/21
Dartmouth,37104,2825,353,52664,5604,402,15103.34,1/28/21
Dedham,27392,1705,282,46410,4727,315,17257.17,1/28/21
Deerfield,5308,138,24,21896,3703,28,69764.13,1/28/21
Dennis,13088,469,78,12929,1423,83,10872.79,1/28/21
Dighton,7927,548,80,8877,872,87,11000.02,1/28/21
Douglas,9486,362,55,8704,761,56,8022.37,1/28/21
Dover,5134,178,34,9287,1064,38,20725.31,1/28/21
Dracut,32415,2730,275,43926,3626,311,11186.34,1/28/21
Dudley,12470,659,89,29529,1205,99,9663.43,1/28/21
Dunstable,3330,111,14,3306,340,15,10209.41,1/28/21
Duxbury,15120,668,133,20631,2334,145,15436.12,1/28/21
East Bridgewater,14879,903,152,15973,1824,172,12259.24,1/28/21
East Brookfield,2244,121,25,2224,225,28,10025.58,1/28/21
East Longmeadow,17005,1161,142,26389,2714,166,15959.60,1/28/21
Eastham,4603,78,20,3442,299,21,6496.31,1/28/21
Easthampton,16194,687,113,37660,4425,136,27324.63,1/28/21
Easton,23741,1414,243,62041,4791,264,20180.22,1/28/21
Edgartown,4086,222,34,9275,680,36,16641.48,1/28/21
Egremont,1074,11,<5,984,97,1,9035.38,1/28/21
Erving,2113,53,19,2213,253,20,11975.27,1/28/21
Essex,3728,121,17,3836,419,18,11239.52,1/28/21
Everett,48552,6939,693,85607,8729,913,17978.69,1/28/21
Fairhaven,16013,1529,186,28666,3247,224,20277.60,1/28/21
Fall River,89317,10995,1245,138245,13940,1485,15607.31,1/28/21
Falmouth,31190,1025,190,42707,3827,210,12269.83,1/28/21
Fitchburg,42123,3631,359,56498,4872,401,11566.06,1/28/21
Florida,784,6,<5,461,38,1,4847.48,1/28/21
Foxborough,18209,888,134,36014,2286,148,12553.91,1/28/21
Framingham,74398,6134,508,117090,11324,595,15220.89,1/28/21
Franklin,33920,1275,220,37127,4290,236,12647.39,1/28/21
Freetown,9049,703,99,10700,1173,114,12962.51,1/28/21
Gardner,19874,1835,338,28307,2534,366,12750.55,1/28/21
Georgetown,8986,410,67,10620,1131,71,12586.56,1/28/21
Gill,1672,26,6,3367,342,6,20458.97,1/28/21
Gloucester,28406,1395,207,34737,3666,240,12905.54,1/28/21
Goshen,1157,16,<5,634,89,2,7695.35,1/28/21
Gosnold,45,5,0,119,3,0,6715.77,1/28/21
Grafton,20125,863,178,27750,2893,195,14375.23,1/28/21
Granby,6112,249,33,8206,791,39,12940.88,1/28/21
Granville,1550,61,8,1534,133,9,8582.43,1/28/21
Great Barrington,6720,351,108,18714,1739,118,25877.50,1/28/21
Greenfield,17148,612,38,25298,2807,52,16368.78,1/28/21
Groton,11690,324,43,17451,2032,46,17382.60,1/28/21
Groveland,6846,380,58,8058,723,66,10560.75,1/28/21
Hadley,5804,218,27,16005,1267,31,21830.67,1/28/21
Halifax,7644,364,61,7798,817,72,10687.66,1/28/21
Hamilton,7375,278,48,11034,1366,53,18521.69,1/28/21
Hampden,4898,312,40,7502,738,42,15068.78,1/28/21
Hancock,641,14,<5,205,16,1,2497.27,1/28/21
Hanover,14379,958,147,17252,2152,168,14965.80,1/28/21
Hanson,10764,634,102,11908,1259,116,11696.24,1/28/21
Hardwick,3341,60,9,2590,344,11,10296.09,1/28/21
Harvard,6951,95,12,6336,551,13,7926.39,1/28/21
Harwich,12589,481,69,13113,1271,79,10096.40,1/28/21
Hatfield,3235,108,21,4599,508,25,15704.43,1/28/21
Haverhill,65939,6252,754,105848,10281,903,15591.76,1/28/21
Hawley,284,0,0,95,9,0,3165.78,1/28/21
Heath,588,6,0,471,51,0,8670.71,1/28/21
Hingham,24005,1347,214,39904,5168,246,21528.81,1/28/21
Hinsdale,2127,48,9,2468,259,9,12179.32,1/28/21
Holbrook,11335,786,122,13680,1416,148,12492.50,1/28/21
Holden,18997,1079,134,29041,2664,148,14023.12,1/28/21
Holland,2565,86,14,2424,230,14,8965.93,1/28/21
Holliston,13726,572,75,18785,1808,78,13171.95,1/28/21
Holyoke,40638,3963,470,75027,8208,595,20197.67,1/28/21
Hopedale,5633,257,32,7843,770,32,13668.26,1/28/21
Hopkinton,16382,589,81,22720,2205,90,13460.14,1/28/21
Hubbardston,4680,112,21,4699,438,22,9359.47,1/28/21
Hudson,21060,1240,165,25878,2446,185,11614.23,1/28/21
Hull,9795,409,68,10562,1149,77,11730.12,1/28/21
Huntington,2200,76,20,2410,256,22,11636.15,1/28/21
Ipswich,13408,541,84,17538,1813,95,13521.77,1/28/21
Kingston,13670,787,137,19812,2139,149,15646.92,1/28/21
Lakeville,11368,660,130,12835,1512,141,13300.53,1/28/21
Lancaster,8589,405,39,10315,1071,47,12469.43,1/28/21
Lanesborough,3024,82,5,3269,310,5,10250.25,1/28/21
Lawrence,87731,16638,1346,162100,14599,1937,16640.63,1/28/21
Lee,5830,241,38,7489,793,43,13601.71,1/28/21
Leicester,11264,775,84,16512,1599,91,14196.04,1/28/21
Lenox,4833,172,21,9573,786,25,16263.95,1/28/21
Leominster,40377,3940,474,57777,5309,522,13148.71,1/28/21
Leverett,2026,24,<5,3570,289,3,14263.43,1/28/21
Lexington,34080,906,108,44668,4835,123,14187.11,1/28/21
Leyden,612,<5,0,211,24,0,3923.91,1/28/21
Lincoln,8697,143,16,9266,936,19,10762.56,1/28/21
Littleton,9756,405,37,13546,1440,38,14759.51,1/28/21
Longmeadow,15406,858,99,26463,2605,120,16908.53,1/28/21
Lowell,116143,13090,1179,183391,16099,1348,13861.37,1/28/21
Ludlow,20714,1550,205,29097,2800,273,13517.37,1/28/21
Lunenburg,10418,523,81,11959,1139,87,10932.59,1/28/21
Lynn,100824,13964,1304,158149,14827,1587,14705.78,1/28/21
