Haverhill,65939,6252,754,105848,10281,903,15591.76,1/28/21
Hawley,284,0,0,95,9,0,3165.78,1/28/21
Heath,588,6,0,471,51,0,8670.71,1/28/21
Hingham,24005,1347,214,39904,5168,246,21528.81,1/28/21
Hinsdale,2127,48,9,2468,259,9,12179.32,1/28/21
Holbrook,11335,786,122,13680,1416,148,12492.50,1/28/21
Holden,18997,1079,134,29041,2664,148,14023.12,1/28/21
Holland,2565,86,14,2424,230,14,8965.93,1/28/21
Holliston,13726,572,75,18785,1808,78,13171.95,1/28/21
Holyoke,40638,3963,470,75027,8208,595,20197.67,1/28/21
